,price,stop,duration_minutes
392,53164,1,670
393,53164,1,695
394,53164,1,700
395,53164,1,745
396,53164,1,765
397,53164,1,815
398,53288,0,140
399,53164,1,680
400,53164,1,695
401,53164,1,895
402,53164,1,915
403,53164,1,1385
404,53164,1,1585
405,57625,1,1225
406,57625,1,1490
407,58216,0,130
408,59033,1,455
409,59033,1,475
410,59033,1,660
411,59033,1,795
412,59033,1,1430
413,59033,1,1630
414,60601,1,350
415,60601,1,730
416,60601,1,760
417,60601,1,825
418,60713,1,360
419,61139,1,1805
420,76953,1,330
421,76953,1,770
422,22152,0,130
423,22152,0,120
424,22152,0,125
425,22152,0,130
426,22152,0,130
427,22152,0,135
428,22152,0,135
429,22152,1,210
430,22152,1,225
431,28872,0,140
432,29837,1,1535
433,29622,1,1610
434,29992,0,140
435,30104,0,130
436,31462,1,1485
437,32646,1,480
438,32646,1,1235
439,34472,0,120
440,34472,0,130
441,34472,0,130
442,34472,0,130
443,34472,0,135
444,35532,1,990
445,36577,1,265
446,36577,1,1100
447,36712,0,135
448,36712,0,140
449,36712,0,140
450,37256,1,275
451,39622,1,1555
452,39859,1,385
453,39859,1,755
454,39859,1,1365
455,40447,1,1505
456,40945,1,475
457,40945,1,1310
458,41281,1,320
459,41281,1,420
460,41281,1,495
461,41281,1,755
462,41281,1,805
463,41281,1,930
464,41281,1,980
465,41281,1,1075
466,41281,1,1155
467,41281,1,1250
468,41281,1,1415
469,41281,1,1425
470,41281,1,1585
471,41113,1,335
472,41113,1,400
473,41113,1,850
474,41113,1,945
475,41113,1,1590
476,41132,1,605
477,42312,0,130
478,44081,1,300
479,44328,0,125
480,44025,1,290
481,44622,1,1805
482,46601,1,1600
483,47217,1,795
484,49896,1,375
485,49896,1,535
486,50969,1,685
487,50969,1,950
488,50969,1,1225
489,50969,1,1490
490,51384,1,440
491,51384,1,545
492,51384,1,785
493,53164,1,345
494,53164,1,360
495,53164,1,390
496,53164,1,440
497,53164,1,455
498,53164,1,550
499,53164,1,670
500,53164,1,695
501,53164,1,700
502,53164,1,745
503,53164,1,765
504,53164,1,815
505,53164,1,860
506,53288,0,135
507,53164,1,455
508,53164,1,680
509,53164,1,680
510,53164,1,895
511,53164,1,915
512,53164,1,1145
513,53164,1,1370
514,53164,1,1585
515,57625,1,435
516,57625,1,660
517,59033,1,330
518,59033,1,390
519,59033,1,770
520,59033,1,830
521,59033,1,795
522,59033,1,915
523,59033,1,1295
524,59033,1,1430
525,59033,1,1495
526,59033,1,1630
527,60601,1,350
528,60713,1,360
529,71056,1,730
530,71056,1,760
531,71056,1,825
532,82777,1,1655
533,22152,0,120
534,22152,0,125
535,22152,0,130
536,22152,0,130
537,22152,0,130
538,22152,0,135
539,22152,0,135
540,22152,1,210
541,22152,1,225
542,28872,0,140
543,29837,1,1535
544,29992,0,140
545,30104,0,130
546,30104,0,130
547,29776,1,885
548,29776,1,1050
549,29777,1,380
550,32646,1,480
551,32646,1,1235
552,34472,0,130
553,34472,0,130
554,34472,0,130
555,34472,0,135
556,35532,1,530
557,35532,1,990
558,36577,1,265
559,36577,1,475
560,36577,1,1100
561,36577,1,1310
562,36712,0,135
563,36712,0,140
564,36712,0,140
565,37417,1,1600
566,37256,1,275
567,37900,1,1435
568,39622,1,655
569,39622,1,1555
570,39859,1,385
571,39859,1,1365
572,40447,1,1505
573,41281,1,320
574,41281,1,420
575,41281,1,755
576,41281,1,805
577,41281,1,930
578,41281,1,980
579,41281,1,1075
580,41281,1,1250
581,41281,1,1415
582,41281,1,1590
583,41113,1,400
584,41113,1,850
585,41113,1,945
586,41113,1,1590
587,42312,0,130
588,42424,0,120
589,44081,1,300
590,44328,0,125
591,44025,1,290
592,44266,1,1485
593,44664,0,135
594,44622,1,1805
595,45156,1,1585
596,47856,1,495
597,50969,1,435
598,50969,1,660
599,50969,1,1225
600,50969,1,1490
601,51384,1,545
602,51384,1,785
603,53164,1,345
604,53164,1,350
605,53164,1,390
606,53164,1,440
607,53164,1,455
608,53164,1,550
609,53164,1,695
610,53164,1,760
611,53164,1,815
612,53164,1,825
613,53164,1,680
614,53164,1,915
615,53164,1,1145
616,53164,1,1370
617,53164,1,1585
618,57689,1,440
619,58876,1,330
620,58876,1,360
621,58876,1,730
622,59033,1,330
623,59033,1,455
624,59033,1,770
625,59033,1,475
626,59033,1,660
627,59033,1,795
628,59033,1,1295
629,59033,1,1430
630,59033,1,1495
631,59033,1,1630
632,59929,1,390
633,59929,1,830
634,60601,1,745
635,60713,1,360
636,60536,1,375
637,60536,1,535
638,71056,1,700
639,71056,1,765
640,74041,1,1655
641,76768,1,670
642,22152,0,130
643,22152,0,120
644,22152,0,130
645,22152,0,130
646,22152,0,130
647,22152,0,135
648,22152,1,210
649,22152,1,225
650,29992,0,140
651,29776,1,885
652,29776,1,1475
653,30092,0,125
654,30092,0,135
655,32646,1,480
656,32646,1,1570
657,34472,0,120
658,34472,0,130
659,34472,0,130
660,34472,0,130
661,35532,1,530
662,35532,1,1065
663,36577,1,265
664,36577,1,475
665,36577,1,1100
666,36577,1,1310
667,36712,0,135
668,36712,0,140
669,36712,0,140
670,36824,0,140
671,37256,1,275
672,37900,1,1435
673,38298,1,1535
674,39622,1,1555
675,39859,1,1365
676,41281,1,420
677,41281,1,805
678,41281,1,980
679,41281,1,1075
680,41281,1,1155
681,41281,1,1250
682,41281,1,1415
683,41281,1,1425
684,41281,1,1585
685,41281,1,1590
686,41113,1,400
687,41113,1,850
688,41113,1,945
689,41113,1,1590
690,42312,0,130
691,42424,0,135
692,44081,1,300
693,44025,1,290
694,44664,0,135
695,44622,1,1805
696,45156,1,320
697,45156,1,495
698,45156,1,755
699,45156,1,930
700,47217,1,1285
701,48550,1,1485
702,49256,0,125
703,49896,1,375
704,49896,1,535
705,50969,1,435
706,50969,1,660
707,50969,1,685
708,50969,1,950
709,50969,1,1295
710,50969,1,1560
711,51384,1,545
712,51384,1,785
713,53164,1,350
714,53164,1,360
715,53164,1,455
716,53164,1,550
717,53164,1,670
718,53164,1,695
719,53164,1,730
720,53164,1,745
721,53164,1,765
722,53164,1,815
723,53164,1,825
724,53164,1,455
725,53164,1,680
726,53164,1,680
727,53164,1,895
728,53164,1,915
729,53164,1,1145
730,53164,1,1370
731,53164,1,1585
732,58876,1,390
733,58876,1,700
734,58876,1,760
735,59033,1,475
736,59033,1,660
737,59033,1,795
738,59033,1,1430
739,59033,1,1630
740,60601,1,345
741,60601,1,440
742,60713,1,360
743,69113,1,330
744,69113,1,455
745,69113,1,770
746,71056,1,330
747,71056,1,860
748,72070,1,440
749,79193,1,390
750,79193,1,830
751,22152,0,130
752,22152,0,130
753,22152,0,120
754,22152,0,125
755,22152,0,130
756,22152,0,130
757,22152,0,130
758,22152,0,135
759,22152,0,135
760,22152,1,210
761,22152,1,225
762,28872,0,125
763,28872,0,140
764,29992,0,140
765,29777,1,380
766,32646,1,480
767,32646,1,1235
768,34472,0,130
769,34472,0,130
770,34472,0,130
771,34472,0,135
772,35532,1,605
773,35936,1,1050
774,36577,1,1280
775,36712,0,135
776,36712,0,140
777,36712,0,140
778,37900,1,1435
779,39622,1,655
780,39622,1,1555
781,39756,1,1485
782,39859,1,385
783,39859,1,1365
784,40447,1,1505
785,40945,1,1070
786,41281,1,320
787,41281,1,420
788,41281,1,495
789,41281,1,755
790,41281,1,805
791,41281,1,930
792,41281,1,980
793,41281,1,1075
794,41281,1,1155
795,41281,1,1250
796,41281,1,1415
797,41281,1,1425
798,41281,1,1585
799,41281,1,1590
800,41113,1,400
801,41113,1,850
802,41113,1,945
803,41113,1,1590
804,42312,0,130
805,42424,0,120
806,44081,1,300
807,44025,1,290
808,44664,0,135
809,44806,1,1535
810,44622,1,1805
811,47217,1,795
812,49896,1,375
813,49896,1,535
814,50521,1,1600
815,50969,1,685
816,50969,1,730
817,50969,1,950
818,50969,1,1225
819,50969,1,1490
820,51384,1,440
821,51384,1,545
822,51384,1,785
823,53164,1,330
824,53164,1,345
825,53164,1,350
826,53164,1,360
827,53164,1,390
828,53164,1,440
829,53164,1,455
830,53164,1,550
831,53164,1,670
832,53164,1,695
833,53164,1,700
834,53164,1,730
835,53164,1,745
836,53164,1,760
837,53164,1,765
838,53164,1,825
839,53164,1,1430
840,53164,1,1665
841,58921,1,475
842,59033,1,770
843,59033,1,475
844,59033,1,795
845,59033,1,1295
846,59033,1,1430
847,59033,1,1495
848,59033,1,1630
849,60713,1,360
850,63289,1,265
851,63065,1,505
852,67769,1,330
853,69113,1,455
854,69785,1,1355
855,79529,1,390
856,22152,0,130
857,22152,0,120
858,22152,0,125
859,22152,0,130
